F114,CC(C)C(=O)NC=1C=CC=C(C#N)C1
F115,CC(C)C(=O)NC=1C=CC=C(C1)C(=O)N
F116,CC(C)C(=O)NCC1=NC=2C=CC=CC2N1
F117,CC(C)C(=O)NCC1CCCNC1
F118,CC(C)C(N)C(=O)N1CCOCC1
F119,CC(C)C(N)C1=NC(C)=NO1
F120,CC(C)C(NC(=O)C)C(=O)N1CCCC1
F121,CC(C)C1=CC(=O)N2N=C(C)N=C2N1
F122,CC(C)C1=NC=CN1CC(=O)O
F123,CC(C)C=1C=CC(=CC1)C(=O)NC2=NN=CS2
F124,CC(C)C=1C=CC(=CC1)C(=O)NC=2C=CC=CN2
F125,CC(C)C=1C=CC(NC(=O)N2CCOCC2)=CC1
F126,CC(C)C=1N=CC(Cl)=C(N1)C(=O)N
F127,CC(C)CC(=O)NC=1C=CC(NC(=O)C)=CC1
F128,CC(C)CNC(=O)C1=NC=CN1C
F129,CC(C)CNC(=O)C=1C=CC=2C=CC=CC2C1
F130,CC(C)COC=1C=CC(=CC1)C(=O)N2CCCC2
F131,CC(C)N(C(C)C)C(=O)C=1C=CC=CC1
F132,CC(C)N(C)C=1N=CN=C2N(C)N=CC12
F133,CC(C)N(C)S(=O)(=O)N1CCNC(=O)C1
F134,CC(C)N(C)S(=O)(=O)N1CCOC(C)C1
F135,CC(C)N(C1CC1)C(=O)C=2C=C(C)ON2
F136,CC(C)N1C=C(N=N1)C(=O)O
F137,CC(C)N1C=CC(CN2C=C(Cl)C=N2)=N1
F138,CC(C)N1C=NC(=C1)S(=O)(=O)N
F139,CC(C)N1CCCC(CO)C1
F140,CC(C)N1CCN(CC1)C(=O)C(C)C
F141,CC(C)N1CCN(CC1)C(=O)C2=CC=CS2
F142,CC(C)N1CCN(CC1)C=2N=CC=CN2
F143,CC(C)NC(=O)C1=CC(C)=NN1C
F144,CC(C)NC(=O)C1=CC(C)=NO1
F145,CC(C)NC(=O)C=1C=C(C)N(C)N1
F146,CC(C)NC(=O)C=1C=CC=2C=CC=CC2N1
F147,CC(C)NC(=O)CN1CCCNCC1
F148,CC(C)NC(=O)N(C)C1CCS(=O)(=O)C1
F149,CC(C)NC(=O)N(C)CC=1C=NN(C)C1
F150,CC(C)NC1=NC=2C=CC=CC2N1
F151,CC(C)NC=1C=CC=NC1
F152,CC(C)NC=1N=CC=CC1C(=O)N(C)C
F153,CC(C)NC=1N=CC=CN1
F154,CC(C)NCC=1C=CC(=CC1)N(C)C
F155,CC(C)NS(=O)(=O)C=1C=CC=CC1F
F156,CC(C)OC=1C=CC(=CC1)C2=CSC(N)=N2
F157,CC(C)SC1=NN=C(NC(=O)C)S1
F158,CC(C1CC1)N(C)C(=O)C2=CC(C)=NO2
F159,CC(C1CC1)N(C)C(=O)C=2SC=NC2C
F160,CC(CC=1C(C)=NOC1C)C(=O)N(C)C
F161,CC(CC=1C=CC(Br)=CC1)C(=O)N
F162,CC(CO)(CO)NC(=O)NC=1C=CC=CC1
F163,CC(CO)N(C)C=1N=CC(Cl)=CN1
F164,CC(CS(=O)(=O)N)C=1C=CC=CC1
F165,CC(N)C(=O)N1CCCCC1C
F166,CC(N)C=1C=CC(=CC1)C=2C=NC=NC2
F167,CC(N)C=1C=CC(=CC1)N2CCOCC2
F168,CC(N)CN1CCOCC1
F169,CC(NC(=O)C)C(=O)N1CCCCCC1
F170,CC(NC(=O)C)C1=NN=C2C=CC=CN12
F171,CC(NC(=O)C1CC1)C=2C=CC=NC2
F172,CC(NC(=O)C1CCCC1)C(=O)O
F173,CC(NC(=O)C=1C=CC=C(C)N1)C2CC2
F174,CC(NC(=O)C=1C=CC=NC1O)C2CC2
F175,CC(NC1CC1)C=2C=CC=NC2
F176,CC(NS(=O)(=O)C)C=1C=CC=CC1Cl
F177,CC(NS(=O)(=O)C)C=1C=NN(C)C1C
F178,CC(O)C(=O)NCC=1C=CC=CN1
F179,CC(O)C=1C=NN(C1)C2CCCC2
F180,CC(O)CCN1C=CC=N1
F181,CC(O)CN1C=CN=C1C
F182,CC(O)CNC(=O)C=1C=CC(Br)=CC1C
F183,CC(O)CNC(=O)C=1C=CC(Br)=CC1F
