#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
48500,3894.0969876174495,299.62915906516815,0.7587844557822925
49000,3665.4587559788433,299.8021592916091,0.761258725815145
49500,3737.202768971726,301.36250994261655,0.7526883725169394
50000,3788.868522738643,296.5391890683474,0.7590933610803419
50500,3810.0293781818227,299.34029937922946,0.7656866644660126
51000,3668.6123169131065,299.45961229645206,0.758215904320841
51500,3681.786003041075,299.2973432420079,0.7733701228859245
52000,3781.9448087596966,290.1606373755711,0.7641573223868229
52500,3707.008828471863,303.5219394606963,0.7579961744968221
53000,3724.1048477374025,290.5826958013023,0.7665816108556132
53500,3713.1277432351662,305.1495858864138,0.7579545405816852
54000,3872.0636272202682,301.47463180836775,0.758439808636281
54500,4002.7038328464014,296.83014776257744,0.7414926009416545
55000,3998.710099594835,299.1668368971522,0.7370199986629592
55500,3808.5237787937363,299.7268851071241,0.7433858417829421
56000,3922.1063563951984,290.3933166782174,0.7492689359437377
56500,3907.137017570443,304.83238060044914,0.7519567416393119
57000,4126.446351607757,307.3818737378137,0.7510051937616163
57500,4160.190432468901,302.4581481432307,0.7401142564736174
58000,4297.587767312275,289.31564113160454,0.7351507415483197
58500,4052.290311973469,301.60991587363463,0.731542625144953
59000,3960.8706220315207,305.70947420682177,0.740081265821146
59500,3789.4041270760135,295.20012511167613,0.7421041443127987
60000,3914.8331694318904,296.76173524146105,0.7509013296898158
60500,3826.320809619403,297.79215022756694,0.7438873810631822
61000,4005.174961766732,303.946203882637,0.7512715987457298
61500,3813.957832737222,301.9349117177355,0.7580564808927938
62000,3615.4720774744274,302.51884122226835,0.7618309220545794
62500,3699.0078264653375,287.1324545867403,0.7568729418465784
63000,3882.16520905092,308.1350676697813,0.7599239021480786
63500,4091.468262208754,298.30595129183047,0.7448255950554998
64000,4040.589975325347,302.469106333451,0.7438932622011976
64500,3948.8391049608526,301.9367259532522,0.7454696402203781
65000,3922.2752774107194,296.5228495368178,0.7509022127457159
65500,3590.374098148329,295.5372723643986,0.7667158675707278
66000,3897.3294074899086,299.9412560161275,0.7654521803926745
66500,3651.4042772197895,301.23995804505233,0.7617789215740212
67000,3816.8366241450317,298.84336585983493,0.7732231632067796
67500,3847.7493809025073,297.1572158089158,0.7552370705537018
68000,3963.6011700994045,300.53025044428017,0.7486141213589168
68500,3884.306015433411,300.8870781715584,0.7466522068732773
69000,3963.218738325034,301.32132914605404,0.7573107403176267
69500,3836.2092049247744,301.05349655883305,0.7587219815450649
70000,3887.467764666763,294.3929536506584,0.7512407541336236
70500,3833.3316129229083,300.10280001462525,0.7645571110399807
71000,3907.5684541925875,308.13024345975464,0.7367691195441153
71500,3864.592130068934,306.7385931689316,0.7490965723165361
72000,4163.684830360917,299.5942804252712,0.7524918525449471
72500,4005.56154265017,301.6250081996944,0.7552460017516366
73000,3963.791034731761,307.30998689724913,0.7393595752092783
73500,4093.886184012134,292.63835270053113,0.7606713820337647
74000,3807.1604812451487,302.8478247817497,0.7700897132278022
74500,3935.167445818758,303.5022435988749,0.7609851190714172
75000,3743.2041179952876,298.6351762915965,0.7589250222418997
75500,3777.8115817247945,311.0192291798132,0.7554984650559492
76000,3902.154003061085,294.5084767452561,0.759155074812127
76500,3794.4815765770395,301.68197067039665,0.7616137047996332
77000,4062.7639858788675,304.87783850934807,0.7708600661021003
77500,3806.0183778619626,299.50918955944826,0.7562303161736541
78000,3705.883995608716,311.4342657468489,0.7689808992812942
78500,3713.6994123981467,305.8482318363856,0.7677289785812651
79000,3593.6957878818866,295.8176607687459,0.7636992027018271
79500,3605.2876896768885,299.9480966988451,0.7715997194079842
80000,3760.7348728261613,285.26482318541457,0.753382209475103
80500,3912.154223539631,280.93982389562194,0.762326631379235
81000,3712.1241264302394,301.2632759135356,0.7543012698928949
81500,3802.9179565918876,298.22140520398546,0.7517553559731579
82000,3953.305573648107,303.5773579863521,0.7507844738735341
82500,4221.378278167779,297.76551714068825,0.7550551099377995
83000,3811.9121186964267,303.0577668182619,0.7558218106081948
83500,3846.04711319547,307.7118700416213,0.7633328480765977
84000,3842.2538576066536,304.5715758910954,0.7580874521572527
84500,3930.3008139077365,300.8973910906437,0.7569983917760552
85000,3938.1931734446493,305.92144763842157,0.7453454916147905
85500,4070.0144165082015,298.05420004048125,0.7430299801112827
86000,3799.3864772836746,303.7667766369203,0.7601903640272824
86500,3880.3842045529914,294.647186742692,0.7759209303343044
87000,3919.012706781288,298.9808229447535,0.7645980897032235
87500,3724.549609962927,296.5184659239868,0.7642724262420685
88000,3820.9354594536726,306.3986911939681,0.7646831266853841
88500,3731.0025619693206,308.22995813293477,0.7649224962742629
89000,3722.8313503943436,310.88265288609057,0.7672171974550055
89500,3908.514104706677,303.3414632027563,0.7612126727570501
90000,3644.988251520749,301.35775603527424,0.7788247793503326
90500,3761.6236212369345,294.4967861253489,0.7736581023162233
91000,3829.342360086558,298.58940011181437,0.7644613936845713
91500,3734.2374105081763,301.6628651567187,0.7465306236003989
92000,4032.6189580085247,302.6306335481828,0.7531506334203313
92500,3809.1194540419374,299.9918037223491,0.765183878726493
93000,4020.7549848119584,292.7822563355548,0.7475347157917624
93500,3849.6492030747345,299.5406590504186,0.7512727813655028
94000,4053.1575759628395,306.39254229384323,0.7519895254954488
94500,3915.621219040136,309.52690446412726,0.7696087103075926
95000,4115.0524727284865,304.6463713823446,0.7586796023723884
95500,3822.885838482048,305.12862876280553,0.7641710831900601
96000,3735.884733530337,307.47041049980567,0.7593832896238719
96500,3537.991931313057,308.92557737433015,0.7734536794338719
97000,3889.5263369869795,298.59515464810653,0.7640255842633213
97500,3712.641847792428,297.8220258126774,0.7675530956481961
98000,3795.9148290891053,305.90081493275096,0.7641830493700816
98500,3976.166844602231,300.3047453890067,0.7656921065336544
99000,3934.5409431682383,303.45463581174585,0.7524693877796386
99500,4010.619623011896,300.9457262645597,0.7606743894546866
100000,4000.354345549292,303.8272158039641,0.7484407554755267
100500,4002.3457094593296,308.62394005627135,0.7389611220321117
101000,4077.279095525537,300.35829556693403,0.7452294444172497
101500,3941.3089029774765,303.50080272144044,0.7671449857686721
102000,3670.9508336117196,308.21973496293987,0.7645568537904942
102500,3771.6518277676705,295.1670605371104,0.7575367097909778
103000,3975.0953948813885,292.6207300957433,0.763260866697163
103500,4084.4567184615366,298.58644223543297,0.7522442419982319
104000,3817.968890072672,305.1340160225975,0.7679550687028067
104500,3628.898889718772,295.7623619030245,0.7525916430822438
105000,3933.4938875937305,292.5052425498329,0.7545534337962692
105500,3850.239119565812,295.40532351655537,0.7564655234474058
106000,3672.3371842090983,305.6549174186439,0.7674447664369193
106500,3809.2654357566375,303.1399705461274,0.7562758534439017
107000,3861.2475185110593,304.05988493804307,0.7585408294873629
107500,3997.6908639878907,302.22420751554716,0.7436208741771242
108000,3878.679043918114,310.20441957647523,0.7502669536512099
108500,3828.7728716907036,306.34406342671036,0.7609099508474766
109000,3914.2205804921946,300.16959883352877,0.7383951725844498
109500,3902.040770019042,314.1704297881264,0.7517968968005826
110000,4024.351060149505,294.0299697777673,0.7307842117937291
110500,4045.824874281663,293.9161644815179,0.7433001128762639
111000,3989.330159206136,294.7320341338447,0.7633286462691131
111500,3865.813030995887,292.72103350316536,0.754226157576279
112000,3955.841137062934,303.63485715255877,0.7517088018005856
112500,3691.752011466603,307.77738003693634,0.7415605805810915
113000,3999.1632479113077,309.8624004240823,0.7549741277005064
113500,3877.915940951405,309.84252971631315,0.7490225768241153
114000,3992.667318987225,314.2518500104829,0.756881349941448
114500,3808.953540370414,289.20410273843055,0.758922171558211
115000,3877.8008523897574,289.912720590172,0.7596716309010804
115500,3762.960929709264,294.04091735421576,0.7556571337297059
116000,3885.2226100895214,296.66285704726357,0.774323730157194
116500,3903.5301957143074,313.1027292549097,0.7669454130800184
117000,3647.5082929122686,281.3915560475254,0.7689047133408872
117500,3791.5729733493995,297.4711068181365,0.7744923152433542
118000,3476.3776721458244,297.3267898855005,0.7797166322476492
118500,3429.939579104067,298.3149614108922,0.7645569310288279
119000,3736.351160913414,292.29268675069903,0.7648174904793892
119500,3932.6633027963153,303.62347124024217,0.7695425233479958
120000,3794.444484494037,305.100778074923,0.7505546503163332
120500,3706.7194911415877,300.5490783724725,0.7570431816239108
121000,3808.4893585392047,305.0139383438214,0.7694001288742256
121500,4094.026324641517,303.58966505053644,0.7649685177238251
122000,3927.581325635988,302.76137966882146,0.7626502822730662
122500,3969.3785907833317,300.73882755410045,0.7709279813703375
123000,3884.374226269206,309.35578183508625,0.7658651257343977
123500,3738.8643985452645,300.94101260782475,0.7678954493370236
124000,3871.8662800743596,291.5895519144957,0.7667755027250697
124500,3874.4144681459507,299.59144556220247,0.7714653573488576
125000,3802.602854525145,306.4950305561168,0.7676219036936767
125500,3741.876987562696,298.7898386914045,0.7737602451142453
126000,3801.741337977497,298.6088047578448,0.7630664964982821
126500,3848.4404330927273,298.5233039572236,0.7569733837681575
127000,3761.075487533989,304.5023702892935,0.76373116870369
127500,4046.678469256461,295.6352599916485,0.7575326906959166
128000,3848.8035577072133,286.9529089327041,0.7606544674800031
128500,3696.2060658005985,295.12450780943925,0.7624330435324205
129000,3693.682694275766,290.91648494222727,0.7559722048565989
129500,3878.0959601582827,295.90026820182544,0.7518674500364819
130000,3849.941043809611,305.8173349856919,0.7534226265562249
130500,3937.0740890930356,290.21052164864227,0.751319586291057
131000,3858.5593078815627,289.0133885455127,0.7622833104576149
131500,4081.6907144498396,290.064817847775,0.7489869066893993
132000,3897.675553746427,299.74876305748455,0.746528556840056
132500,3923.501214237428,295.62606823236706,0.7398373797713936
133000,3717.353180462272,300.1185446106969,0.7561680699252714
133500,3700.002285250034,303.54732661439346,0.7649531940111853
134000,3916.8199131608008,299.7924800877713,0.7622241331066208
134500,3992.822574272019,300.1157645657545,0.746693134894012
135000,3720.920098605686,312.77397688118856,0.7495740130006213
135500,3649.4429401390516,300.4456809638474,0.7509220225087656
136000,3941.773624588799,301.7633525516498,0.7583283014659374
