#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,627.8800483780319,166.62320552182388,0.9147898145126623
200,984.802925896109,194.82229205389424,0.9078785136373965
300,1606.2849970085283,208.1269598788244,0.9000809679685892
400,1820.469794223882,233.9617163209586,0.8925887695547741
500,2241.78817895632,238.9096291216298,0.8804191123320869
600,2374.899494077201,250.22479600224545,0.8743125989458045
700,2585.82393506489,262.3003912416286,0.8691755134614265
800,2746.083945702235,268.9116790119579,0.8652078233462955
900,3093.3681733659632,270.27492884006745,0.8562050878407307
1000,3127.115914082524,278.9387202242989,0.8428364416735906
1100,3119.6247450805436,287.42788263300014,0.8378813139276492
1200,3106.3482105462945,290.53739716566264,0.8366973700779357
1300,3247.33911352844,287.15220882536516,0.830317116091233
1400,3189.280464825398,295.35146354315606,0.8277048602356003
1500,3420.5428399010225,291.7149283885345,0.8301073165145162
1600,3420.9346373982457,293.7924998792955,0.8298593367552138
1700,3459.3715023770746,289.39989040118445,0.819249469702883
1800,3410.8190769230173,296.2508287978334,0.8145382265344596
1900,3499.314514048793,297.1864983132776,0.807496063058943
2000,3563.0319643088314,290.21928658981477,0.8021483455975157
2100,3496.2385032868333,302.93257050690426,0.7997542077817769
2200,3622.5514671048013,295.385507036127,0.7986931846095229
2300,3468.0431277374432,299.69749988972376,0.800790324910909
2400,3635.7626721156885,294.03342571083607,0.7950343436604937
2500,3565.337415188641,295.066344455631,0.7949023388289808
2600,3591.1660322108964,301.37496624257756,0.78701781372581
2700,3739.921158587959,294.544437024036,0.7769994989670621
2800,3518.8336142119797,310.0396820449167,0.7832439246706477
2900,3702.966405015792,298.8412062354453,0.7750317695850025
3000,3868.620706629327,302.0579783101903,0.7750317695850025
3100,3976.171060286636,300.5307347536629,0.7697793868140761
3200,3794.969565340266,313.4059711308198,0.7616300863846905
3300,3843.778737181703,311.16629744227816,0.766568326306721
3400,3946.2519954607933,306.86100250870544,0.7692969214171353
3500,4017.235887902847,302.79169949498265,0.7610216669549583
3600,3952.87058257388,308.15281597815977,0.7599605419793346
3700,3890.9414834471827,311.519465825859,0.764182373965322
3800,3852.109517124224,312.8132992589871,0.7656100484444722
3900,3908.8305024374868,309.75774158581333,0.7673447848298082
4000,3807.88914641451,312.25349366352896,0.7699178852627588
4100,3920.2430442426203,302.82268939798297,0.773874290732891
4200,3848.8827506186753,307.0704560947672,0.7751222340143508
4300,4002.29980804224,298.2861013922317,0.7684823642270756
4400,3857.260756500872,305.75069090948796,0.7690900184953708
4500,3833.7475109848847,307.1790959531294,0.770466533605703
4600,3760.458606508784,314.2520067424465,0.7752326691193359
4700,4110.354570774236,293.1537133736674,0.7659565895047943
4800,3878.5918830169057,296.46453325251565,0.7617574331579055
4900,3833.2742370537517,296.7589281163635,0.7543427388977292
5000,3932.141198170567,304.54613160838676,0.7584107447049602
5100,3849.0769832785268,309.6739242726354,0.7650643912482686
5200,3783.8496492710988,304.0829251489388,0.771566536370487
5300,3829.7718803107164,301.1914372149495,0.7700100648522903
5400,3707.938026692601,303.75533102554465,0.7758406758216739
5500,3750.62248295489,304.9906206018876,0.7744543400176902
5600,3920.350282950546,303.45078917328095,0.7761748769157115
5700,3660.1298266254976,310.8342984124314,0.7760900946438197
5800,3682.7197635368775,297.35568323515224,0.7823912874186191
5900,3737.0421418052388,296.9896717140254,0.7776364365820875
6000,3791.2462834019734,299.18983053385114,0.774418967251285
6100,3764.953628412449,303.17753254083186,0.7785936731525098
6200,3803.5113281814693,298.3835870294804,0.7731200136079278
6300,3842.948330719557,298.40976759823786,0.7778290044397046
6400,3751.0907131028416,300.88737823619346,0.7827633645668748
6500,3786.7106134794703,303.54375419425986,0.7742044894369451
6600,3893.6618648373833,296.37602429905036,0.7731427418699381
6700,3653.80577106287,303.8500241056712,0.7707633319716903
6800,3742.448311133294,299.06913941882544,0.772894179808996
6900,3828.195445127405,297.1273583666389,0.7744714587437846
7000,3799.9445917589646,303.6615634783397,0.7683427235565325
7100,4010.037808339478,297.4617188842451,0.7642450280756106
7200,3810.7202772382475,305.5747051122757,0.7631080322468122
7300,3728.4116056596295,306.6417931658758,0.7657309755356623
7400,3763.085983771673,298.75869736793857,0.76727481927449
7500,3926.0332062727075,296.1549272929639,0.7675542088777815
7600,3656.8592170036873,306.12231603999635,0.7715391292263216
7700,3771.660159879862,300.3631544836629,0.7698095955552514
7800,3739.553826551083,302.6942476172451,0.7710709075992921
7900,3658.280192389556,300.1689880233815,0.7738865672220802
8000,3786.999652883423,291.85893572609683,0.7665234221056627
8100,3605.1412817835826,304.5173559141376,0.7689340776323431
8200,3883.1173701121397,288.8317091775359,0.7705811102642904
8300,3706.629748998431,296.4509299409317,0.7648786357150738
8400,3850.906619238317,288.09633991903723,0.7689063771945932
8500,3570.628288541801,294.8910997382256,0.7670849847713636
8600,3537.9498695824327,292.44169234751234,0.7703782320210558
8700,3509.6842696569056,294.11402355282365,0.7664944178276005
8800,3567.3544346940052,291.886064105084,0.7719353674674573
8900,3502.078445813133,309.46551803142796,0.7731685883258786
9000,3789.735775925922,302.34633151416955,0.7667175064249594
9100,3794.3347416211036,303.17306113670156,0.762009222888885
9200,3764.733673896917,298.9028133326206,0.7553814259247105
9300,3731.2666270093123,290.83449230705213,0.7623830688677923
9400,3804.694162051025,295.50205456998583,0.7559825572884313
9500,3930.7117873495868,293.660308483391,0.7596641824855982
9600,3868.112754866903,305.7980904551492,0.7624965798060708
9700,3863.0399340120757,310.7134048690315,0.7624387565683799
9800,3830.3081191558317,301.3077914661289,0.760315519486956
9900,3809.6260129414195,302.44026734603574,0.7680961896895608
10000,3745.0599454394683,303.12332432624635,0.7606091694510232
10100,3788.72314608073,294.1630555805277,0.7539200092790237
10200,3676.8233661095983,306.0780336216586,0.7495502054622044
10300,3967.518554799268,295.1422058721523,0.7499219376688201
10400,3895.32935260357,301.6268705197224,0.763003700234459
10500,3991.8487916338354,293.0083898577916,0.7517829235377916
10600,3847.689614170511,300.4091953067581,0.7463787858490547
10700,3708.0136468931314,297.94492953611615,0.7490209434975272
10800,3734.849496834766,298.6406085589726,0.7559297051675403
10900,3645.4030561380314,294.45666169125803,0.7551491283038884
11000,3757.237023657339,297.3663342588213,0.7581591264703459
11100,3934.5470907934996,287.44628261848067,0.7499388990501265
11200,3803.755812584113,294.7601027754343,0.7468423940015194
11300,3757.808468450267,304.44121039065703,0.7500162587028234
11400,3947.641240322755,301.094267544249,0.7475394859973139
11500,3883.4012266369,301.9652331486331,0.7472811462909288
11600,3927.6796054416736,305.89892802504085,0.743094322093977
11700,4063.9816069032267,298.69789991887893,0.7482081939568657
11800,3794.84285739404,303.60289404189564,0.7529933031448132
11900,3952.1090928572817,300.63702847188864,0.7492584529312509
12000,3812.6392737313877,305.3923581554218,0.7441805090893457
12100,3768.5800721614096,306.57342326221567,0.7421183453649255
12200,4032.817301312068,299.3294727312737,0.7485608042699478
12300,3784.728543950748,299.0341449085868,0.7490406473776704
12400,3857.2843152224805,298.05255017151103,0.7496737093704731
12500,3902.2161516623773,298.1185505256482,0.7454146022216778
